,0,1
22,"Laptop ASUS Zenbook 14 UX3405CA cu procesor Intel® Core™ Ultra 9 285H pana la 5.4GHz, 14'', 3K, OLED, 120Hz, 32GB LPDDR5X, 1TB SSD, Intel® Arc™ Graphics, Windows 11 Pro, Ponder Blue","7.449,99 Lei"
23,"Laptop Apple MacBook Pro 14"" cu procesor Apple M4 Max, 14 nuclee CPU si 32 nuclee GPU, 36GB RAM, 1TB SSD, Silver, Tastatura Internationala, Manual RO","18.499,99 Lei"
24,"Laptop HP Zbook 16 Fury G1i, procesor Intel Core Ultra 9-285HX, 64GB DDR5, SSD 2TB, NVIDIA RTX PRO 4000, Windows 11 Pro, Dark Ash, 16 inch","24.947,76 Lei"
25,"Laptop Apple MacBook Pro 16"" cu procesor Apple M4 Pro, 14 nuclee CPU si 20 nuclee GPU, 24GB RAM, 512GB SSD, Silver, Tastatura Internationala, Manual RO","13.499,99 Lei"
26,"Laptop Lenovo Lenovo V15 G4 AMN cu procesor AMD Ryzen™ 3 7320U pana la 4.1GHz, 15.6"" Full HD, 8GB Soldered LPDDR5-5500, 256GB SSD, AMD Radeon™ 610M Graphics, No OS, Business Black","1.487,01 Lei"
27,"Laptop Dell Vostro 3530 cu procesor Intel® Core™ i7-1355U pana la 5.0 GHz, 15.6"", Full HD, 120Hz, 16GB DDR4, 512GB SSD, Intel® Iris® Xe Graphics, Ubuntu 22.04, Carbon Black, 3y ProSupport and Next Business Day Onsite Service","3.833,32 Lei"
28,Laptop Lenovo ThinkPad P16s Gen 3 16 inch WUXGA Intel Core Ultra 7 155H 32GB DDR5 1TB SSD Windows 11 Pro Black,"9.878,19 Lei"
29,"Laptop Apple MacBook Pro 14"" cu procesor Apple M4, 10 nuclee CPU si 10 nuclee GPU, 16GB RAM, 512GB SSD, Space Black, Tastatura Internationala, Manual RO","7.999,99 Lei"
30,"Laptop Lenovo V15 G4 AMN cu procesor AMD Ryzen™ 3 7320U pana la 4.1 GHz, 15.6"", Full HD, 16GB, 512GB SSD, AMD Radeon™ 610M Graphics, No OS, Business Black","1.689,99 Lei"
31,"Laptop Apple MacBook Air 13"" cu procesor Apple M2, 8 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB SSD, Midnight, INT KB","4.499,99 Lei"
32,"Laptop Lenovo IdeaPad 1 15IJL7 cu procesor Intel® Pentium® Silver N6000 pana la 3.3GHz, 15.6"", Full HD, 4GB DDR4 RAM, 128GB eMMC, Intel® UHD Graphics, Windows® 11 Home in S mode, Cloud Grey","1.199,99 Lei"
33,"Laptop Razer Blade 18 RZ09-05298ER3-R3E1, 18 inch 3840 x 2400, Intel Core Ultra 9 275HX 24 C / 24 T, 2.7 GHz - 5.4 GHz, 40 MB 24 MB cache, 28 W, 32 GB RAM, 1 TB SSD, Nvidia GeForce RTX 5080, Windows 11 Home, Negru","22.496,30 Lei"
34,"Laptop Apple MacBook Pro 16"" cu procesor Apple M4 Max, 16 nuclee CPU si 40 nuclee GPU, 48GB RAM, 1TB SSD, Silver, INT KB","26.830,09 Lei"
35,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB, Sky Blue, Tastatura Internationala, Manual RO","5.199,99 Lei"
36,"Laptop Lenovo V15 G4 IRU cu procesor Intel® Core™ i5-13420H pana la 4.6 GHz, 15.6"", Full HD, IPS, 8GB DDR4 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Business Black, 3y Carry-in","2.099,98 Lei"
37,"Laptop Lenovo ThinkPad T14s Gen 6 (AMD) cu procesor AMD Ryzen™ AI 7 PRO 360 pana la 5.00 GHz, 14"" WUXGA IPS, Touch, 64GB RAM, 1TB SSD, AMD Radeon™ 880M Graphics, Windows® 11 Pro","12.054,13 Lei"
38,"Laptop Gaming ASUS TUF F15 FX507VV cu procesor Intel® Core™ i7-13620H pana la 4.9 GHz, 15.6"", Full HD, IPS, 144Hz, 16GB, 1TB SSD, NVIDIA® GeForce RTX™ 4060 8GB GDDR6, No OS, Jaeger Gray","de la 6.499,99 Lei"
39,"Laptop Gaming Lenovo LOQ 17IRX10 cu procesor Intel® Core i7-13650HX pana la 4.9GHz, 17.3"" Full HD, IPS, 165Hz, 24GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 5050 8GB GDDR7, No OS, Luna Grey","6.099,99 Lei"
